,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,104213.5,1545.9036705494,267,607,0.4398682043,1.5551631986,22.9319441207,19.1458874855,23.1704573189,4.7666712429,46.6137827561,54.5241602052,27.7319657958,19.9355086516,0.9964817345,0.9003454558,2.4587870077
0,216005,2147.3077778816,610,607,1.0049423394,1.714173283,21.3464072265,36.9733189944,46.5402358289,42.6520730368,56.9420595214,67.6798993037,63.1107468162,10.7416251367,0.9987461395,0.8491694104,4.2708136406
0,139519.5,2520.5941382647,1080,363,2.9752066116,2.8099297948,45.5376833335,30.5586018061,34.8317514797,32.1119546647,58.8183747063,65.8883073298,61.7206031385,15.4317556378,0.9968176573,0.8606251993,3.2091320668
0,297432.5,2306.6143472195,623,607,1.0263591433,1.2714178847,17.8879905417,38.9546464092,48.2927054732,41.3884388919,50.5669756592,58.0276016777,50.9193254674,22.4661951488,0.998361142,0.775855056,5.5457480522
0,158441.5,2662.2408883572,1080,488,2.2131147541,3.326401227,44.7327660218,35.4019281225,45.0225822198,20.3143876991,63.1689307754,77.6403524585,47.0387773867,11.2983043831,0.9978973844,0.8677670383,3.60701644
0,86701,1488.6072071791,221,607,0.3640856672,1.5472370561,25.5585450833,12.7026664226,18.3429678443,9.3519982915,36.2903635573,47.3703164412,33.0618847192,18.6072530043,0.9967009929,0.9112816458,2.0968770496
0,272531,2568.170699358,1080,312,3.4615384615,1.2364098029,24.2009193121,34.847833913,47.0642946488,9.1278982854,46.8796074445,58.50999273,34.9403088218,19.1500055175,0.9986744907,0.8324551135,4.9824336921
0,181058,1964.7636229992,493,607,0.8121911038,1.6527908184,21.3207706606,28.4383122826,34.9259045701,16.8613872109,48.8654027363,57.7416730778,40.4895142955,11.1860447293,0.9988707992,0.8729253779,3.5962604759
0,285777,2898.1362085342,1080,450,2.4,1.7006267124,29.3907259269,26.9977774727,29.7402144731,20.8542955641,40.1110169576,41.249996223,38.3570399322,49.8087279659,0.9974830252,0.8107407439,4.7981946737
0,140407.5,1716.0357029438,398,607,0.6556836903,1.720606093,20.9730857239,25.4634678748,38.8739657697,14.645095796,50.5888972316,73.3969514383,35.095904418,8.6902485396,0.9981607479,0.8899447255,2.9288562128
0,262595.5,2684.486492753,1054,453,2.3267108168,1.8182413636,27.443226292,55.8276206602,71.3057447068,31.7179693697,70.5507212365,86.809800245,47.2734053022,31.5352778889,0.9950939428,0.7293043934,5.5822598778
0,81317.5,1708.0113162994,360,607,0.5930807249,2.6872444431,35.8754592383,9.1154997254,12.7300201355,5.923926109,30.3315419013,36.5267758696,27.5901825371,22.4100786148,0.9970520189,0.9380436887,1.746971613
0,79,40.485281229,8,16,0.5,1.6202531646,20.7475695721,14.2940798706,16.5408627738,13.8556455549,46.2899118302,52.5809134673,45.6038868738,9.0011113314,0.9942602363,0.932216684,1.5339210121
0,241783,2664.2337517738,917,607,1.510708402,2.3021428306,29.3574878469,28.127826591,40.2588824822,15.8877966929,43.8677863009,55.0090480257,36.7755977384,20.4160580317,0.9985657426,0.8686035976,3.9871185558
0,260946,2268.8326050043,619,607,1.0197693575,1.4398879462,19.7266920724,38.7224037464,46.6101607786,39.2206647752,52.1132415721,59.9407891494,52.188319191,22.0230390593,0.9980374649,0.77213934,4.9419645801
0,175732.5,2735.9810022116,1080,447,2.4161073826,2.7471298707,42.5965148419,30.9624733053,39.3068292757,21.4195802062,53.0941247393,63.9763701523,44.9925141106,17.2281210674,0.9979419166,0.8727864927,3.4737513116
0,149314.5,2100.6387336254,490,607,0.8072487644,1.9919699694,29.5529442165,36.0989932272,40.2199554579,21.9845079016,69.4551849692,75.7367049134,46.4937833225,13.8192998851,0.9968255707,0.8602324727,3.4330081879
0,86983,1468.2396776676,200,607,0.3294892916,1.395675017,24.7833226157,12.7856855208,17.641774971,5.1380895723,35.7636460089,45.6782292474,26.0031398534,15.1856264426,0.9975240747,0.9144896418,2.0875469518
0,200297.5,2613.6580681801,1080,346,3.1213872832,1.865624883,34.1053108369,22.2648895601,27.3286106535,21.0600189151,43.3130463478,47.2344694315,41.6460289453,39.2437534129,0.9974444263,0.8477193651,3.9439702631
0,132050,1606.9158626795,307,607,0.5057660626,1.4112003029,19.5545519858,32.1601973885,42.3433263164,12.4774696443,63.4320376601,82.7328783687,33.7231961533,5.9625208595,0.9976689272,0.9195295941,2.5622800378
0,121627,1636.6904686689,307,607,0.5057660626,1.5321351345,22.0243505984,15.282000122,21.387671609,7.1393495637,36.7904066518,46.6381748351,30.5931222183,12.0419712237,0.9986899571,0.9257340407,2.5113235856
0,132050,1606.9158626795,307,607,0.5057660626,1.4112003029,19.5545519858,32.1601973885,42.3433263164,12.4774696443,63.4320376601,82.7328783687,33.7231961533,5.9625208595,0.9976689272,0.9195295941,2.5622800378
0,94069.5,1533.0264747143,224,607,0.3690280066,1.4453994121,24.9833386185,14.0303923363,17.5045686131,6.3951064739,37.2006811413,44.3483621232,27.633296809,14.4234133071,0.9977582522,0.9141935622,2.1469685186
0,82033.5,2231.7556066513,721,607,1.1878088962,5.3349790025,60.7158427694,18.5038852279,20.8890154982,17.1975684911,49.6276841321,54.9650444183,47.3900156927,14.21747795,0.9956977781,0.9289863494,2.0422467253
0,341823,2838.8367772102,989,607,1.629324547,1.7562393402,23.5765125449,62.129719629,76.3850128135,61.9637393984,62.9494408029,74.114085808,63.5380462135,24.489024877,0.9971404995,0.6914255326,6.4642523348
0,142654,2784.1118239164,1080,244,4.4262295082,1.8472668134,54.3362166366,29.0478247605,34.0122826286,24.083295198,59.3093674102,66.6375238231,54.9095904986,66.9229812199,0.9918832563,0.8200774389,3.9203938341
0,82033.5,2231.7556066513,721,607,1.1878088962,5.3349790025,60.7158427694,18.5038852279,20.8890154982,17.1975684911,49.6276841321,54.9650444183,47.3900156927,14.21747795,0.9956977781,0.9289863494,2.0422467253
0,118826.5,1639.6538891792,280,607,0.4612850082,1.4303206776,22.6251288753,21.7985569589,26.424084752,18.6778281164,49.2913215436,57.3026462187,43.3194517842,14.9460769731,0.9973053592,0.862497052,2.8848880712
0,222701.5,2855.9667241573,1080,385,2.8051948052,1.8670731899,36.6254647117,77.5974525596,93.6751616938,66.4964412106,74.508925326,81.4432785908,80.1403644188,12.5937278213,0.9989052604,0.8351999459,6.6707065255
0,98281.5,1572.28130579,252,607,0.4151565074,1.556386502,25.1529382899,22.3531377753,28.2685749588,6.3835362133,54.5773362994,67.492242746,27.6088753322,15.2635306843,0.9951851666,0.9061372363,2.3115685344
0,280270,2394.4448614121,738,607,1.215815486,1.5983373176,20.4565818473,30.7766184636,45.1395661724,12.4092165477,45.5597350338,60.0376194242,37.9924682699,22.4506944555,0.9985740126,0.8032200485,5.1757851984
